video_id,title,channel_name,published_date,views,likes,comment_count,video_url,Atomberg,Havells,Crompton,Orient
g3uJjG1zxd0,Atomberg Renesa smart fan #shorts #youtubeshorts #smartgadgets #homeimprovement #amazonfinds,Quirk Art for Home by Stuti,2024-07-26T04:32:41Z,1390984,5124,27,https://youtube.com/watch?v=g3uJjG1zxd0,True,False,False,False
bRW2z6D96OU,Atomberg BLDC Ceiling Fan 💸 This Fan Saves ₹1500/year!  Atomberg Renesa Halo #Shorts,Lovepreet Singh,2025-05-11T08:30:15Z,305283,2484,19,https://youtube.com/watch?v=bRW2z6D96OU,True,False,False,False
MQES_LprVeY,Ceiling Fan with Lights & Remote – Stylish & Functional Home Upgrade!,QC Store,2025-03-29T16:00:24Z,2026217,8519,117,https://youtube.com/watch?v=MQES_LprVeY,False,False,False,False
dunp92Exhqg,Best BLDC Smart Fan For Home | Atomberg Renesa Plus BLDC FAN with Remote Control..,AJAY light Experiment ,2024-08-23T16:26:54Z,301395,2151,34,https://youtube.com/watch?v=dunp92Exhqg,True,False,False,False
eUqNCj2T55I,Atomberg renesa smart plus 1200 mm ceiling fan pearl white unboxing #atomberg #atombergfan #renesa,Gtfuturetechnology,2024-09-15T08:00:02Z,482684,2482,35,https://youtube.com/watch?v=eUqNCj2T55I,True,False,False,False
u_kxhHjHln0,Atomberg Renesa 1400mm,AMARDEEP Toor,2022-05-04T17:45:33Z,3281315,31084,384,https://youtube.com/watch?v=u_kxhHjHln0,True,False,False,False
0aU5FtkCEcc,Smart fan controller with mobile controller,SHIVA ELECTRICIAN WORKS,2023-05-04T05:14:14Z,202465,850,24,https://youtube.com/watch?v=0aU5FtkCEcc,False,False,False,False
auGsGYXFisg,Ceiling fan 😩 atomberg studio smart plus fan #fan #fansound #shorts #shortsvideo #viralvideo,Utpad Unbox,2024-08-14T03:25:52Z,1040412,4898,29,https://youtube.com/watch?v=auGsGYXFisg,True,False,False,False
0S3KB-pFlf0,Atomberg Renesa Smart 1200mm BLDC Ceiling Fan Repair | Mr. Tech Rakesh,Mr. Tech Rakesh,2025-08-31T14:01:28Z,187,6,0,https://youtube.com/watch?v=0S3KB-pFlf0,True,True,False,True
M51FK8wEg0k,Atomberg Renesa BLDC smart ceiling fan app control kaise kare. #shorts #youtubeshorts,Amazing Technique Gyan,2024-04-02T13:44:17Z,356423,2148,88,https://youtube.com/watch?v=M51FK8wEg0k,True,False,False,False
nVPNjae59-s,Atomberg Rensa Plus BLDC Fan #gadgetshorts  #shorts,Utpad Unbox,2023-03-23T06:16:22Z,2495471,22573,196,https://youtube.com/watch?v=nVPNjae59-s,True,False,False,False
SwRKYEhK8dI,Best BLDC Ceiling Fan In 2025⚡Top 3 BLDC Fan 2025 in India Atomberg Renesa Enzel BLDC Fan,Gadgets Munch,2025-04-10T08:51:16Z,388692,2083,91,https://youtube.com/watch?v=SwRKYEhK8dI,True,False,False,False
bQbKhXIE9V0,Atomberg BLDC Ceiling fan Sleep Mode Use #atombergfan #renesa  #bldcfan Atomberg Fan remote function,Lighting Adda,2025-02-07T06:30:45Z,336216,1114,12,https://youtube.com/watch?v=bQbKhXIE9V0,True,False,False,False
3wkfkBYNnzU,Modern Ceiling Fan | Bladeless ceiling fan SMART CEILLING FAN with light #viralshort #ceilingfan,Smart Home ,2025-04-27T07:50:39Z,146642,,22,https://youtube.com/watch?v=3wkfkBYNnzU,False,False,False,True
